bankname,type,sms
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 45 SAR
mada card: 9970*
Account: **8990
At: BARNS
On: 2022-7-13 19:49"
Alinma,Deposit,"Credit Transfer Internal
Amount: 200 SAR
To account: **9090
From: مشاعل القحطاني
On: 2022-07-09 12:32"
AlAhli,Deposit,"Payroll deposit 
of 990 SAR
Account 745*104
on 29/03/2022 - 09:26"
Sabb,Other,"You still have time
(71) ICSABB+ points available in your balance, redeem before 31/12/2021"
Gulf International bank,Withdrawl,"Fund Transfer Approved
Transaction amount: SAR 2000.00
Currency: SAR
Transaction ID: 20220323SAGULFGULF2BTMS11342890194
Sender account number: *****1981
Beneficiary name: 68202490627000
Beneficiary alias: ********9335
Name of beneficiary participant: Bank Al Inma
Date: 2022-03-23
Time: 16:42:29"
Gulf International bank,Withdrawl,"ATM Withdrawal 
Amount: SAR 2,500.00 
Card:***7032;mada
From: ***1981
Location: Riyadh, Cent, SA
Date:02/04/2022 21:44"
Gulf International bank,Other,"Notification: Online Banking Service
Status: Blocked 
Reason: Incorrect Password attempts 
Date: 28/02/2022 11:31
Action: Please use forget password steps on meem app to unblock your online banking services or call our Contact Center on 920026336"
Sabb,Withdrawl,"PoS Purchase
By: ***8383;mada(Apple Pay); 
Amount: SAR 149.00
At: ABO HAITH×Wheel Sta
Date: 2022-04-20 01:04:28"
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 76.00
At: UNITED PHARMACIES(53
Card type: mada, Atheer
Card number: 4021
Date: 2022-07-13 18:32:35"
Arab National Bank,Deposit,"Credit transfer via eWallet
eWallet: STC Pay
Amount: SAR 6000
To: ***0029
Sender's Name: 
From: SAUDI DIGITAL PAYMENTS COMPANY
Date: 30-06-2022 04:07:49"
Gulf International bank,Withdrawl,"ATM Withdrawal 
Amount: SAR 2,000.00 
Card:***7032;mada
From: ***1981
Location: AL RAJHI BANK, RIYADH, SA
Date:31/07/2022 19:21"
Gulf International bank,Deposit,"Credit Transfer
To: ***1981
Amount: SAR 1.15
Date: 28/07/2022"
Sabb,Other,You are successfully logged in to SABB mobile using Face ID/Touch ID
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 16.00
At: LUQIMAT TOUF EST
Card type: mada, Atheer
Card number: 4021
Date: 2022-08-12 20:09:26"
Arab National Bank,Withdrawl,"Outgoing Fund Transfer Approved
From: ***0029
Amount: SAR 250.29
Beneficiary Name: لينا ال***
Beneficiary IBAN: ***9940
Beneficiary Bank: بنك الرياض
Date: 17-08-2022 19:31:13
Reference ID: 2241422742
Transaction ID: SD8675009"
Sabb,Withdrawl,"Fund Transfer Credited
To: *******1001
From: NAJAT ABDULLAH IBRAHIM ALRASHED
IBAN: *****0173
Banque Saudi Fransi
Amount: SAR 4925.00
Date: 2022-08-17 20:28:54
Ref: 20220817SABSFRBSFR1BEBK12028268791"
Sabb,Deposit,"Credit transfer: Local
Via: BSFRSARI
From: 464 NAJAT ABDULLAH IBRAHIM ALRASHED
Amount: SAR 20,818.17
To: ***001
Date: 2022-08-23 13:12:22"
Sabb,Other,You are successfully logged in to SABB mobile using Face ID/Touch ID
Riyad bank,Deposit,"Incoming Transfer(Sarie)
To Account:***8989 
Amount:SAR 170.00
From:DEEMA D. ALSA*** 
Via:Bank Albilad
On:2022-04-28 17:09
Ref:**019889"
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 42.00
At: RED SAJ RESTURANT
Card type: mada, Atheer
Card number: 4021
Date: 2022-08-27 20:31:22"
Riyad bank,Other,"One Time Password
Code:7878
For:User Logon
On:2022-07-14 11:40"
Riyad bank,Other,"Authentication code:5000
For:E-Commerce transaction
Amount:53.99 SAR
At:Jahez international Co
On:2022-07-03 12:08"
Riyad bank,Withdrawl,"POS Purchase
By:*6600;Mada Atheer
Amount:SAR 24.00
From:DUNKIN 10195
On:2022-08-03 11:11"
Riyad bank,Withdrawl,"Outgoing Transfer Approved(Sarie)
From:***8897
To:سجى م. السب**
Amount:SAR 100.00
Via:Alinma Bank 
IBAN:*****9089 
On:2022-06-20 19:30
Ref:**303780"
AlAhli,Other,Requested an activation code 8989 for Login Authentication on 12/06/2022 15:19
AlAhli,Other,Requested an activation code 7896 for Local Transfer on 11/06/2022 20:33
AlAhli,Deposit,Deposit ATM Amount 50 SAR Account 890*590 On 14/03/2022 at 14:55
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 90.95
At: ALA KAYFEK LTGEREH E
Card type: mada, Atheer
Card number: 4021
Date: 2022-08-28 18:09:05"
AlAhli,Withdrawl,"PoS Purchase (Apple Pay)
Amount 990 SAR
Mada card *1868
Account 745*104
From STC Pay
on 29/08/2022 at 07:42"
Albilad,Other,Your request has been submitted and you will be updated by SMS and Email
Albilad,Other,You have successfully provisioned your card **6879 on mada Pay
Albilad,Withdrawl,"POS Local Purchase
By: **1240; Mada, MADA PAY
Amount: 69.70 SAR
At: FEKER AND EBDAA
Date: 2022-02-20 11:02"
Albilad,Withdrawl,"
Outgoing Funds Transfer Local Approved
To: AL RAJHI BANK SAUDI ARABIA
Sender: FAISAL KHALID ALSALEM
Sender Account: xx0004
Receiver: سعد السالم
Receiver IBAN: ********9000
Amount: 2000. 00 SAR
Fees: 0.58 SAR
at: 28/08/2022 13:13:05
Ref: 20220828SAALBIALBI2BXXX93846729091"
Alinma,Other,"Dear customer,
To complete the internet purchase transaction
Amount: 61.88 SAUDI RIYAL
Merchant: https nana.sa en
Please use the temporary password:489890"
Alinma,Deposit,"Incoming Funds Transfer (Sarie)
To Account: **9000
Amount: 100 SAR
From: حصة خالد العمري
From Account: **7780
From Bank: RIYADH BANK, RIYADH
At: 2021-08-28 12:15
Ref: **306789"
Alinma,Withdrawl,"Online Purchase
Amount: 64.99 SAR
mada card: 8790*
From Account: **8000
at: Jahez international Co
On: 2022-08-01 17:38"
Alinma,Withdrawl,"Online Purchase
Amount: 76.99 SAR
mada card: 9090*
From Account: **7800
at: Jahez international Co
On: 2022-08-25 13:44"
Alinma,Other,"Dear Customer
How was your banking experience with us? Leave your feedback for us to improve our services.
https://survey2.medallia.eu/?et6z4xymt8tkzzkh629pht&lang=ar"
Alinma,Withdrawl,"Debit Transfer Local Deposited Confirmation (sarie)
To Beneficiary: نوف العمري
To Account: **4450
Beneficiary Bank: BANK ALBILAD
IBAN: **0330
Amount: 100 SAR
Fee: 0.58 SAR
From Account: **3040
At: 2022-08-21 10:44
Ref: **032346"
Alinma,Withdrawl,"Debit Transfer Internal
Amount: 100 SAR
To beneficiary: NOUF FARES ALSUBAIE
To Account *2340
From Account: **9009
On: 2022-08-21 10:12"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 24 SAR
mada card: 8909*
Account: **3450
At: DUNKIN 10195
On: 2022-8-20 10:01"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 68 SAR
mada card: 9090*
Account: **8989
At: KUDU KR-89
On: 2022-8-19 19:56"
Alinma,Withdrawl,"Online Purchase
Amount: 57 SAR
mada card: 9900*
From Account: **8989
at: HungerStation
On: 2022-08-19 13:20"
Alinma,Withdrawl,"PoS International Purchase
Amount: 16 SAR 
Mada card: 9090* 
At: AmazonPrime 
In: Saudi Arabia 
On: 2022-8-18 00:16"
Alinma,Deposit,"Credit Transfer Internal
Amount: 800 SAR
To account: **8000
From: حصة العمري
On: 2022-08-16 20:42"
Alinma,Other,"Dear customer,
To complete the internet purchase transaction
Amount: 49.99 SAUDI RIYAL
Merchant: Jahez international Co
Please use the temporary password:89890"
Alinma,Other,"Please use the code: 7890
To activate: SARIE Fund Transfer to Beneficiary
Purpose: Personal Transfer"
Alinma,Other,"Dear customer,
To complete the internet purchase transaction
Amount: 2240.01 SAUDI RIYAL
Merchant: Kiwi.com s.r.o.
Please use the temporary password:8000"
Alinma,Other,"Dear customer,
To complete the internet purchase transaction
Amount: 260.98 SAUDI RIYAL
Merchant: Mrsool
Please use the temporary password:88990
"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 23.20 SAR
mada card: 8989*
Account: **9900
At: S137-Tamimi Markets
On: 2022-7-17 07:53"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 50 SAR
mada card: 9090*
Account: **8878
At: Itqan Al Mashrab EST
On: 2022-7-16 21:02"
Alinma,Withdrawl,"Online Purchase
Amount: 40 SAR
mada card: 8989*
From Account: **9900
at: Merchant
On: 2022-07-12 20:19"
Alinma,Withdrawl,"Debit Transfer Internal
Amount: 200 SAR
To beneficiary: HAJAR MESAAD ALSHATHRI
To Account *2300
From Account: **9900
On: 2022-07-09 12:02"
AlAhli,Withdrawl,"PoS Purchase (Apple Pay)
Amount 2 SAR
Mada card *1868
Account 745*104
From STC Pay
on 19/03/2022 at 18:50"
Sabb,Withdrawl,POS Purchase (Mada atheer) of SAR 26.00 at bagel o bagel from Mada card 5146 on 16/06/2019 at 10:39:07 Thank you
Gulf International bank,Withdrawl,"PoS International Purchase
By: ***7032;Debit Card
At: DUBAI DUTY FREE ARRIV, DUBAI, AE
Country: UNITED ARAB EMIRATES
Amount: AED 96.60
Balance: SAR 4,362.24
Date: 23/03/2022 21:10"
Gulf International bank,Other,"Dear Customer, 


To avoid fraud, never share your One Time Password (OTP) with anyone.
Be sure that meem Digital Banking will never ask you for your OTP or PIN number through a phone call, email, or social media. 


To report suspicious activity, contact us immediately on 8001166336"
Gulf International bank,Other,"Notification: Login Failed
Reason: Incorrect Username or Password
Date: 2/28/2022 11:31:58 AM"
Sabb,Other,"Dear Customer,
Do not share your password
SABB never asks you to share your password, accounts numbers or OTP via phone, email or social media."
,Withdrawl,"Bill Payment
From: ***0012
Amount: SAR 138
Biller: 001
Service:Telecommunication
Bill Number:00138042405
Date: 2022-07-04 12:58:57"
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 76.00
At: Zahrat Alrawdhah Co
Card type: mada, Atheer
Card number: 4021
Date: 2022-06-28 19:50:37"
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 14.85
At: almaseef4008
Card type: mada, Atheer
Card number: 4021
Date: 2022-07-04 20:24:14"
Alfransi,Deposit,"Incoming Fund Transfer
Credit to Account: *****0123
Amount: SAR 3200.00
From: ****شركة ا. علوم
بنك الإنماء
At: 21-03-2022 15:28:12 
Ref: 20220321SAINMAINMA6BXXX11527021572"
AlAhli,Deposit,"Credit Transfer Student Reward
Amount 990 SAR
Account 745*104
on 28/07/2022 at 05:55"
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 60.00
At: RED SAJ RESTURANT
Card type: mada, Atheer
Card number: 4021
Date: 2022-08-12 20:41:55"
AlAhli,Deposit,"Credit Transfer Student Reward
Amount 990 SAR
Account 745*104
on 28/07/2022 at 05:55"
Sabb,Deposit,"Credit Card: Payment
Card: ***5053;MASTER
Amount: SAR 3,944.60
From: ***001
Date: 2022-08-17 20:29:58"
Sabb,Withdrawl,"Credit Card: Payment
Card: ***5053;MASTER
Amount: SAR 21,746.51
From: ***001
Date: 2022-08-23 14:35:10"
Sabb,Other,"One Time Password
Code: 9471
Reason: SABBMobile Logon
Date: 2022-08-23 15:36:01 
Sharing your OTP with others will expose you to Fraud"
Riyad bank,Deposit,"Incoming Transfer(Sarie)
To Account:***9000
Amount:SAR 990.00
From:DEEMA D. ALSA*** 
Via:Alinma Bank
On:2022-01-01 07:07
Ref:**019009"
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 5.00
At: Naama fast food rest
Card type: mada, Atheer
Card number: 4021
Date: 2022-08-27 20:34:01"
Riyad bank,Other,"Authentication code:1001
For:E-Commerce transaction
Amount:1.00 SAR
At:Jahez international Co
On:2022-08-01 12:2"
Riyad bank,Withdrawl,"Online Purchase
By:*8989;Mada Card 
Amount:100.99 SAR
Account:*979450
At:Jahez international Co
On:2022-08-01 12:06"
Riyad bank,Other,The code to add your bank card into mada Pay app 1879605
Riyad bank,Withdrawl,"Outgoing Transfer Approved(Sarie)
From:***7890
To:منيرة خ. العو**
Amount:SAR 30.00
Via:Alinma Bank 
IBAN:*****8090
On:2022-04-21 12:15
Ref:**305849"
AlAhli,Other,You have logged in to AlAhliMobile using Biometric ID.
AlAhli,Other,"Activation code 6758 Please provide the activation code to NCB staff to activate the mobile number 
"
AlAhli,Withdrawl,"PoS Purchase (mada Atheer)
Amount 52 SAR
Mada card *9000
Account 607*234
From STARBUCKS-2906
on 19/08/2022 at 16:10
"
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 373.59
At: LULU SAUDI HYPERMARK
Card type: mada, Atheer
Card number: 4021
Date: 2022-08-28 17:35:29"
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 118.85
At: DRR ALJAZERA W ALKHA
Card type: mada, Atheer
Card number: 4021
Date: 2022-08-28 22:33:15"
Albilad,Other,"Dear Customer
Your account has been opened and your IBAN Number is SA5847603948576023495876"
Albilad,Deposit,"Incoming Fund Transfer Local
From: AL INMA BANK SAUDI ARABIA
Sender: FAISAL KHALID ALQARNI
Sender Account: xx8000
Receiver: AHMAD KHALID ALQARNI
Receiver Account: xx9995
Amount: 100.00 SAR
at: 01/08/2022 10:44:35
Ref: 20220821SAINMAINMA2BXXX11057687905"
Albilad,Withdrawl,"POS Local Purchase
By: **1299; Mada, MADA PAY
Amount: 29.00 SAR
At: DUNKIN 10195
Date: 2022-08-23 11:07"
Albilad,Deposit,"
Outgoing Funds Transfer Local Approved
To: AL INMA BANK SAUDI ARABIA
Sender: SAAD FAISAL ALSALEM
Sender Account: xx0004
Receiver: خالد السالم
Receiver IBAN: ********8989
Amount: 100. 00 SAR
Fees: 0.58 SAR
at: 13/08/2022 13:13:05
Ref: 20220828SAALBIALBI2BXXX5763940274"
Alinma,Withdrawl,"Online Purchase
Amount: 4.11 SAR
mada card: 7878*
From Account: *9000
At: GOOGLE *TEMPORARY HOLD
In: Great Britain
On: 2022-08-28 23:00"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 23 SAR
mada card: 8909*
Account: **7800
At: DUNKIN 10195
On: 2020-8-20 08:55"
Alinma,Other,"Dear customer,
To complete the internet purchase transaction
Amount: 64.99 SAUDI RIYAL
Merchant: Jahez international Co
Please use the temporary password:745069"
Alinma,Other,"Dear customer,
To complete the internet purchase transaction
Amount: 76.99 SAUDI RIYAL
Merchant: Jahez international Co
Please use the temporary password:890900"
Alinma,Withdrawl,"Debit Transfer Local Deposited Confirmation (sarie)
To Beneficiary: مها العمري
To Account: **9890
Beneficiary Bank: RIYADH BANK, RIYADH
IBAN: **9940
Amount: 100 SAR
Fee: 0.58 SAR
From Account: **9090
At: 2022-08-22 10:58
Ref: **019100"
Alinma,Other,"Please use the code: 3550
To activate: SARIE Fund Transfer to Beneficiary
Purpose: Personal Transfer"
Alinma,Other,"Please use the code: 8888
To activate: Fund Transfer to Beneficiary inside the Bank"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 45 SAR
mada card: 8989*
Account: **9000
At: DRAFT CAFE
On: 2022-8-19 21:39"
Alinma,Withdrawl,"Debit Transfer Internal
Amount: 300 SAR
To beneficiary: SARAH MUHAMMED ALAMRI
To Account *8900
From Account: **8080
On: 2022-08-19 18:17"
Alinma,Other,"Dear customer,
To complete the internet purchase transaction
Amount: 57.0 SAUDI RIYAL
Merchant: hungerstation
Please use the temporary password:0908809"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 25 SAR
mada card: 9000*
Account: **8989
At: DUNKIN 10195
On: 2022-8-17 11:48"
Alinma,Deposit,"Credit Transfer Internal
Amount: 200 SAR
To account: **9090
From: سعود القحطاني
On: 2022-08-16 20:35"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 53.25 SAR
mada card: 9099*
Account: **9090
At: S137-Tamimi Markets
On: 2022-8-15 11:01"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 3 SAR
mada card: 9900*
Account: **9090
At: FEKER AND EBDAA
On: 2022-8-14 10:58"
Alinma,Withdrawl,"Online Purchase
Amount: 2,304.41 SAR
mada card: 9090*
From Account: *9900
At: KIWI.COM
In: Czech Republic
On: 2022-07-19 20:05
"
Alinma,Deposit,"Credit Transfer Internal
Amount: 300 SAR
To account: **8000
From: مشاعل القحطاني
On: 2022-07-19 17:41"
Alinma,Withdrawl,"Online Purchase
Amount: 43 SAR
mada card: 8898*
From Account: **9090
at: HungerStation
On: 2022-07-17 21:06"
Alinma,Withdrawl,"Online Purchase
Amount: 83 SAR
mada card: 9009*
From Account: **9090
at: HungerStation
On: 2022-07-14 21:36"
Alinma,Withdrawl,"Online Purchase
Amount: 42 SAR
mada card: 8899*
From Account: **9090
at: HungerStation
On: 2022-07-09 16:47"
Alinma,Deposit,"Credit Transfer Internal
Amount: 200 SAR
To account: **8989
From: مشاعل القحطاني
On: 2022-07-09 08:41"
AlAhli,Other,Card Number ***868 For Account 745*104 Has been Open Date 23/11/2021 13:25
Sabb,Deposit.,"Dear Customer, SAR 29,542.48 has been credited to your account 026 for a Transfer done on 06/16 at 13:04"
Gulf International bank,Withdrawl,"Mobile application transactions
Application Name: Apple Pay
Amount: SAR 170.00
At: BILAD ALRAFEADAN GIRLED E, RIYADH, SA
Card type: MADA
Card Number: ***7032;
Date: 24/03/2022 20:20"
Gulf International bank,Other,"One Time Password: 3493
Reason: Login 
Date: 28/02/2022 11:34"
Gulf International bank,Other,Your card 1655 was successfully removed from Apple Pay following your request.
Alfransi,Withdrawl,"Outgoing Funds Transfer Approved
Debited from Account: *****0464
To: Dad ahli****
Amount: SAR 5000.00
IBAN: *****7606
البنك الأهلي التجاري
At: 31-03-2022 01:50:25 
Ref: 20220331SABSFRBSFR1BEBK10150962394"
Arab National Bank,Other,"Dear customer, due to the periodic update of the system, the bank's services will not be available on Monday 04/07/2022 from 5 to 8 AM.
We appreciate your understanding."
Arab National Bank,Withdrawl,"Outgoing Fund Transfer Approved
From: ***0029
Amount: SAR 1570.58
Beneficiary Name: نجاة ***
Beneficiary IBAN: ***0173
Beneficiary Bank: البنك السعودي الفرنسي
Date: 19-06-2022 20:02:15
Reference ID: 2235326590
Transaction ID: SD7885717"
Alfransi,Deposit.,"Incoming Fund Transfer
Credit to Account: *****0123
Amount: SAR 2600.00
From: AHLAM A. ZAME****
البنك العربي الوطني
At: 26-06-2022 02:18:10 
Ref: 20220626SAARNBARNB1B28510217397595"
AlJazeera,Other,"One Time Password for Online Purchase 
Code: 0450 
For: IBE Emirates 
Amount: SAR 6762.0 
Date: 2022/08/01 00:10:59"
AlAhli,Other,Requested an activation code 8117 for Login Authentication on 26/04/2022 08:29. Sharing the code with anyone exposes you to fraud
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 14.00
At: NEW ADNAN CORNER RES
Card type: mada, Atheer
Card number: 4021
Date: 2022-08-12 20:46:51"
AlAhli,Withdrawl,"PoS Purchase (Apple Pay)
Amount 990 SAR
Mada card *1868
Account 745*104
From STC Pay
on 06/08/2022 at 17:21"
Sabb,Deposit.,"Credit Card: Payment
Card: ***5053;MASTER
Amount: SAR 1,200.00
From: ***001
Date: 2022-08-17 20:29:23"
Sabb,Deposit.,"Credit transfer: Local
Via: BSFRSARI
From: 464 NAJAT ABDULLAH IBRAHIM ALRASHED
Amount: SAR 20,818.17
To: ***001
Date: 2022-08-23 13:12:22"
Sabb,Withdrawl,"Credit Card: Payment
Card: ***5053;MASTER
Amount: SAR 1,864.70
From: ***001
Date: 2022-08-23 15:36:05"
Riyad bank,Deposit.,"Incoming Transfer(Sarie)
To Account:***9000
Amount:SAR 9.00
From:DEEMA D. ALSA*** 
Via:Al Rajhi Bank
On:2022-01-01 07:07
Ref:**019009"
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 116.00
At: Gulf Oil Fuel Compan
Card type: mada, Atheer
Card number: 4021
Date: 2022-08-27 19:47:25"
